epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1851.66,1.1695,0.85469,1.149,0.83683,0.79729,0.87717,0.63189,0.92273,0.70855,0.9999,0.0059041,0.0059041,0.0059041
43,1895.44,1.16779,0.85477,1.156,0.8271,0.79963,0.88577,0.65545,0.87317,0.70537,0.99371,0.0058042,0.0058042,0.0058042
44,1939.22,1.14279,0.81761,1.13803,0.84222,0.81482,0.89039,0.6676,0.87209,0.68201,0.98776,0.0057043,0.0057043,0.0057043
45,1983.06,1.14763,0.82999,1.1323,0.87675,0.77242,0.88745,0.65759,0.86893,0.72674,0.9688,0.0056044,0.0056044,0.0056044
46,2026.9,1.13576,0.81767,1.12835,0.86208,0.81627,0.896,0.6612,0.88962,0.71285,0.98037,0.0055045,0.0055045,0.0055045
47,2070.73,1.1461,0.81728,1.12752,0.85116,0.81026,0.89637,0.64936,0.92668,0.80754,0.99056,0.0054046,0.0054046,0.0054046
48,2114.49,1.15556,0.80989,1.13495,0.8751,0.81072,0.90207,0.67226,0.87949,0.75335,0.97906,0.0053047,0.0053047,0.0053047
49,2158.56,1.15381,0.80382,1.14041,0.85929,0.82427,0.89888,0.66141,0.87802,0.77216,0.97582,0.0052048,0.0052048,0.0052048
50,2202.24,1.14465,0.8061,1.12511,0.86624,0.82061,0.9044,0.67767,0.86495,0.65296,0.96969,0.0051049,0.0051049,0.0051049
51,2245.96,1.12184,0.79365,1.12628,0.84673,0.8291,0.90206,0.68886,0.8362,0.65404,0.96444,0.005005,0.005005,0.005005
52,2290.47,1.12914,0.78518,1.13571,0.85074,0.83786,0.90117,0.67033,0.85875,0.80733,0.96295,0.0049051,0.0049051,0.0049051
53,2334.95,1.1055,0.77284,1.11604,0.84242,0.81628,0.8867,0.65574,0.88749,0.81314,0.98285,0.0048052,0.0048052,0.0048052
54,2378.99,1.10551,0.7759,1.11689,0.8447,0.81726,0.88328,0.67342,0.82715,0.76643,0.9576,0.0047053,0.0047053,0.0047053
55,2421.67,1.10398,0.75412,1.10899,0.86539,0.83355,0.90161,0.68249,0.82414,0.67911,0.95544,0.0046054,0.0046054,0.0046054
56,2464.1,1.10855,0.74269,1.10022,0.86712,0.82059,0.90127,0.66485,0.88961,0.76792,0.97352,0.0045055,0.0045055,0.0045055
57,2506.62,1.10824,0.77183,1.11155,0.85962,0.83693,0.9046,0.68298,0.83954,0.71342,0.9576,0.0044056,0.0044056,0.0044056
58,2549.11,1.10803,0.76254,1.11322,0.85594,0.8372,0.90457,0.67637,0.81843,0.77106,0.95054,0.0043057,0.0043057,0.0043057
59,2591.63,1.10714,0.7703,1.11205,0.85389,0.82889,0.90465,0.68425,0.81829,0.62717,0.95535,0.0042058,0.0042058,0.0042058
60,2634.05,1.0877,0.73489,1.10454,0.87692,0.8329,0.91276,0.68659,0.82187,0.66206,0.95202,0.0041059,0.0041059,0.0041059
61,2676.78,1.08914,0.7335,1.10302,0.86247,0.85004,0.91193,0.67822,0.8383,0.68855,0.95849,0.004006,0.004006,0.004006
